departure_code;arrival_code;price;category;flexibility;travel_time;departure_date;arrival_date;type;train_number
FRPST;FRAEG;58.0;SECOND;CONDITIONAL_FLEXIBILITY;6420000;2020-05-06T13:54:00.000+02:00;2020-05-06T15:41:00.000+02:00;OTHER;9575
FRPST;FRAEG;62.0;FIRST;CONDITIONAL_FLEXIBILITY;6420000;2020-05-06T13:54:00.000+02:00;2020-05-06T15:41:00.000+02:00;OTHER;9575
FRPST;FRAEG;152.0;FIRST;FULL_FLEXIBILITY;6420000;2020-05-06T13:54:00.000+02:00;2020-05-06T15:41:00.000+02:00;OTHER;9575
FRPST;FRADE;44.0;SECOND;CONDITIONAL_FLEXIBILITY;5040000;2020-05-06T15:40:00.000+02:00;2020-05-06T17:04:00.000+02:00;TGV_INOUI;2613
FRPST;FRADE;48.0;FIRST;CONDITIONAL_FLEXIBILITY;5040000;2020-05-06T15:40:00.000+02:00;2020-05-06T17:04:00.000+02:00;TGV_INOUI;2613
FRPST;FRADE;114.0;FIRST;FULL_FLEXIBILITY;5040000;2020-05-06T15:40:00.000+02:00;2020-05-06T17:04:00.000+02:00;TGV_INOUI;2613
FRPST;FRENC;44.0;SECOND;CONDITIONAL_FLEXIBILITY;5880000;2020-05-06T14:09:00.000+02:00;2020-05-06T15:47:00.000+02:00;TGV_INOUI;2509
FRPST;FRENC;48.0;FIRST;CONDITIONAL_FLEXIBILITY;5880000;2020-05-06T14:09:00.000+02:00;2020-05-06T15:47:00.000+02:00;TGV_INOUI;2509
FRPST;FRENC;114.0;FIRST;FULL_FLEXIBILITY;5880000;2020-05-06T14:09:00.000+02:00;2020-05-06T15:47:00.000+02:00;TGV_INOUI;2509
FRPST;FREAJ;29.0;SECOND;CONDITIONAL_FLEXIBILITY;3600000;2020-05-06T14:09:00.000+02:00;2020-05-06T15:09:00.000+02:00;TGV_INOUI;2509
FRPST;FREAJ;31.0;FIRST;CONDITIONAL_FLEXIBILITY;3600000;2020-05-06T14:09:00.000+02:00;2020-05-06T15:09:00.000+02:00;TGV_INOUI;2509
FRPST;FREAJ;73.0;FIRST;FULL_FLEXIBILITY;3600000;2020-05-06T14:09:00.000+02:00;2020-05-06T15:09:00.000+02:00;TGV_INOUI;2509
FRPST;FRRHE;29.0;SECOND;CONDITIONAL_FLEXIBILITY;2760000;2020-05-06T10:58:00.000+02:00;2020-05-06T11:44:00.000+02:00;TGV_INOUI;2719
FRPST;FRRHE;31.0;FIRST;CONDITIONAL_FLEXIBILITY;2760000;2020-05-06T10:58:00.000+02:00;2020-05-06T11:44:00.000+02:00;TGV_INOUI;2719
FRPST;FRRHE;65.0;FIRST;FULL_FLEXIBILITY;2760000;2020-05-06T10:58:00.000+02:00;2020-05-06T11:44:00.000+02:00;TGV_INOUI;2719
FRPST;FRRHE;29.0;SECOND;CONDITIONAL_FLEXIBILITY;2760000;2020-05-06T17:28:00.000+02:00;2020-05-06T18:14:00.000+02:00;TGV_INOUI;2747
FRPST;FRRHE;31.0;FIRST;CONDITIONAL_FLEXIBILITY;2760000;2020-05-06T17:28:00.000+02:00;2020-05-06T18:14:00.000+02:00;TGV_INOUI;2747
FRPST;FRRHE;65.0;FIRST;FULL_FLEXIBILITY;2760000;2020-05-06T17:28:00.000+02:00;2020-05-06T18:14:00.000+02:00;TGV_INOUI;2747
FRAEG;FRPST;58.0;SECOND;CONDITIONAL_FLEXIBILITY;6480000;2020-05-06T07:47:00.000+02:00;2020-05-06T09:35:00.000+02:00;TGV_INOUI;9590
FRAEG;FRPST;62.0;FIRST;CONDITIONAL_FLEXIBILITY;6480000;2020-05-06T07:47:00.000+02:00;2020-05-06T09:35:00.000+02:00;TGV_INOUI;9590
FRAEG;FRPST;152.0;FIRST;FULL_FLEXIBILITY;6480000;2020-05-06T07:47:00.000+02:00;2020-05-06T09:35:00.000+02:00;TGV_INOUI;9590
FREAJ;FRENC;16.5;SECOND;CONDITIONAL_FLEXIBILITY;2100000;2020-05-06T15:12:00.000+02:00;2020-05-06T15:47:00.000+02:00;TGV_INOUI;2509
FREAJ;FRENC;18.5;FIRST;CONDITIONAL_FLEXIBILITY;2100000;2020-05-06T15:12:00.000+02:00;2020-05-06T15:47:00.000+02:00;TGV_INOUI;2509
FREAJ;FRENC;38.0;FIRST;FULL_FLEXIBILITY;2100000;2020-05-06T15:12:00.000+02:00;2020-05-06T15:47:00.000+02:00;TGV_INOUI;2509
FREAJ;FRPST;29.0;SECOND;CONDITIONAL_FLEXIBILITY;3600000;2020-05-06T09:20:00.000+02:00;2020-05-06T10:20:00.000+02:00;TGV_INOUI;2656
FREAJ;FRPST;31.0;FIRST;CONDITIONAL_FLEXIBILITY;3600000;2020-05-06T09:20:00.000+02:00;2020-05-06T10:20:00.000+02:00;TGV_INOUI;2656
FREAJ;FRPST;73.0;FIRST;FULL_FLEXIBILITY;3600000;2020-05-06T09:20:00.000+02:00;2020-05-06T10:20:00.000+02:00;TGV_INOUI;2656
FRADE;FRPST;44.0;SECOND;CONDITIONAL_FLEXIBILITY;5400000;2020-05-06T08:50:00.000+02:00;2020-05-06T10:20:00.000+02:00;TGV_INOUI;2656
FRADE;FRPST;48.0;FIRST;CONDITIONAL_FLEXIBILITY;5400000;2020-05-06T08:50:00.000+02:00;2020-05-06T10:20:00.000+02:00;TGV_INOUI;2656
FRADE;FRPST;114.0;FIRST;FULL_FLEXIBILITY;5400000;2020-05-06T08:50:00.000+02:00;2020-05-06T10:20:00.000+02:00;TGV_INOUI;2656
FRADE;FREAJ;22.0;SECOND;CONDITIONAL_FLEXIBILITY;1620000;2020-05-06T08:50:00.000+02:00;2020-05-06T09:17:00.000+02:00;TGV_INOUI;2656
FRADE;FREAJ;24.0;FIRST;CONDITIONAL_FLEXIBILITY;1620000;2020-05-06T08:50:00.000+02:00;2020-05-06T09:17:00.000+02:00;TGV_INOUI;2656
FRADE;FREAJ;52.0;FIRST;FULL_FLEXIBILITY;1620000;2020-05-06T08:50:00.000+02:00;2020-05-06T09:17:00.000+02:00;TGV_INOUI;2656
FRLPD;FRMSC;42.0;SECOND;CONDITIONAL_FLEXIBILITY;6660000;2020-05-06T11:36:00.000+02:00;2020-05-06T13:27:00.000+02:00;TGV_INOUI;5332
FRLPD;FRMSC;52.0;FIRST;CONDITIONAL_FLEXIBILITY;6660000;2020-05-06T11:36:00.000+02:00;2020-05-06T13:27:00.000+02:00;TGV_INOUI;5332
FRLPD;FRMSC;96.0;FIRST;FULL_FLEXIBILITY;6660000;2020-05-06T11:36:00.000+02:00;2020-05-06T13:27:00.000+02:00;TGV_INOUI;5332
FRLPD;FRMLT;13.9;SECOND;CONDITIONAL_FLEXIBILITY;1740000;2020-05-06T11:30:00.000+02:00;2020-05-06T11:59:00.000+02:00;TGV_INOUI;6616
FRLPD;FRMLT;16.5;FIRST;CONDITIONAL_FLEXIBILITY;1740000;2020-05-06T11:30:00.000+02:00;2020-05-06T11:59:00.000+02:00;TGV_INOUI;6616
FRLPD;FRMLT;33.0;FIRST;FULL_FLEXIBILITY;1740000;2020-05-06T11:30:00.000+02:00;2020-05-06T11:59:00.000+02:00;TGV_INOUI;6616
FRLPD;FRMLT;13.9;SECOND;CONDITIONAL_FLEXIBILITY;1500000;2020-05-06T17:04:00.000+02:00;2020-05-06T17:29:00.000+02:00;TGV_INOUI;6626
FRLPD;FRMLT;16.5;FIRST;CONDITIONAL_FLEXIBILITY;1500000;2020-05-06T17:04:00.000+02:00;2020-05-06T17:29:00.000+02:00;TGV_INOUI;6626
FRLPD;FRMLT;33.0;FIRST;FULL_FLEXIBILITY;1500000;2020-05-06T17:04:00.000+02:00;2020-05-06T17:29:00.000+02:00;TGV_INOUI;6626
FRLPD;FRFNI;40.0;SECOND;CONDITIONAL_FLEXIBILITY;4740000;2020-05-06T11:06:00.000+02:00;2020-05-06T12:25:00.000+02:00;TGV_INOUI;5521
FRLPD;FRFNI;46.0;FIRST;CONDITIONAL_FLEXIBILITY;4740000;2020-05-06T11:06:00.000+02:00;2020-05-06T12:25:00.000+02:00;TGV_INOUI;5521
FRLPD;FRFNI;84.0;FIRST;FULL_FLEXIBILITY;4740000;2020-05-06T11:06:00.000+02:00;2020-05-06T12:25:00.000+02:00;TGV_INOUI;5521
FRLPD;FRMPL;42.0;SECOND;CONDITIONAL_FLEXIBILITY;6600000;2020-05-06T11:06:00.000+02:00;2020-05-06T12:56:00.000+02:00;TGV_INOUI;5521
FRLPD;FRMPL;51.0;FIRST;CONDITIONAL_FLEXIBILITY;6600000;2020-05-06T11:06:00.000+02:00;2020-05-06T12:56:00.000+02:00;TGV_INOUI;5521
FRLPD;FRMPL;92.0;FIRST;FULL_FLEXIBILITY;6600000;2020-05-06T11:06:00.000+02:00;2020-05-06T12:56:00.000+02:00;TGV_INOUI;5521
FRLPD;FRAVG;37.0;SECOND;CONDITIONAL_FLEXIBILITY;4620000;2020-05-06T11:36:00.000+02:00;2020-05-06T12:53:00.000+02:00;TGV_INOUI;5332
FRLPD;FRAVG;42.0;FIRST;CONDITIONAL_FLEXIBILITY;4620000;2020-05-06T11:36:00.000+02:00;2020-05-06T12:53:00.000+02:00;TGV_INOUI;5332
FRLPD;FRAVG;73.0;FIRST;FULL_FLEXIBILITY;4620000;2020-05-06T11:36:00.000+02:00;2020-05-06T12:53:00.000+02:00;TGV_INOUI;5332
FRXCC;FRLPE;24.0;SECOND;CONDITIONAL_FLEXIBILITY;3420000;2020-05-06T14:22:00.000+02:00;2020-05-06T15:19:00.000+02:00;TGV_INOUI;6615
FRXCC;FRLPE;28.0;FIRST;CONDITIONAL_FLEXIBILITY;3420000;2020-05-06T14:22:00.000+02:00;2020-05-06T15:19:00.000+02:00;TGV_INOUI;6615
FRXCC;FRLPE;53.0;FIRST;FULL_FLEXIBILITY;3420000;2020-05-06T14:22:00.000+02:00;2020-05-06T15:19:00.000+02:00;TGV_INOUI;6615
FRXCC;FRLPE;24.0;SECOND;CONDITIONAL_FLEXIBILITY;3720000;2020-05-06T17:15:00.000+02:00;2020-05-06T18:17:00.000+02:00;TGV_INOUI;6621
FRXCC;FRLPE;28.0;FIRST;CONDITIONAL_FLEXIBILITY;3720000;2020-05-06T17:15:00.000+02:00;2020-05-06T18:17:00.000+02:00;TGV_INOUI;6621
FRXCC;FRLPE;53.0;FIRST;FULL_FLEXIBILITY;3720000;2020-05-06T17:15:00.000+02:00;2020-05-06T18:17:00.000+02:00;TGV_INOUI;6621
FRXCC;FRLPD;24.0;SECOND;CONDITIONAL_FLEXIBILITY;2640000;2020-05-06T14:22:00.000+02:00;2020-05-06T15:06:00.000+02:00;TGV_INOUI;6615
FRXCC;FRLPD;28.0;FIRST;CONDITIONAL_FLEXIBILITY;2640000;2020-05-06T14:22:00.000+02:00;2020-05-06T15:06:00.000+02:00;TGV_INOUI;6615
FRXCC;FRLPD;53.0;FIRST;FULL_FLEXIBILITY;2640000;2020-05-06T14:22:00.000+02:00;2020-05-06T15:06:00.000+02:00;TGV_INOUI;6615
FRXCC;FRLPD;24.0;SECOND;CONDITIONAL_FLEXIBILITY;2760000;2020-05-06T17:15:00.000+02:00;2020-05-06T18:01:00.000+02:00;TGV_INOUI;6621
FRXCC;FRLPD;28.0;FIRST;CONDITIONAL_FLEXIBILITY;2760000;2020-05-06T17:15:00.000+02:00;2020-05-06T18:01:00.000+02:00;TGV_INOUI;6621
FRXCC;FRLPD;53.0;FIRST;FULL_FLEXIBILITY;2760000;2020-05-06T17:15:00.000+02:00;2020-05-06T18:01:00.000+02:00;TGV_INOUI;6621
FRENC;FRPST;44.0;SECOND;CONDITIONAL_FLEXIBILITY;5460000;2020-05-06T08:15:00.000+02:00;2020-05-06T09:46:00.000+02:00;TGV_INOUI;2596
FRENC;FRPST;48.0;FIRST;CONDITIONAL_FLEXIBILITY;5460000;2020-05-06T08:15:00.000+02:00;2020-05-06T09:46:00.000+02:00;TGV_INOUI;2596
FRENC;FRPST;114.0;FIRST;FULL_FLEXIBILITY;5460000;2020-05-06T08:15:00.000+02:00;2020-05-06T09:46:00.000+02:00;TGV_INOUI;2596
FRAEK;FRTJA;11.8;SECOND;CONDITIONAL_FLEXIBILITY;1320000;2020-05-06T15:37:00.000+02:00;2020-05-06T15:59:00.000+02:00;TGV;6706
FRAEK;FRTJA;13.8;FIRST;CONDITIONAL_FLEXIBILITY;1320000;2020-05-06T15:37:00.000+02:00;2020-05-06T15:59:00.000+02:00;TGV;6706
FRAEK;FRTJA;24.0;FIRST;FULL_FLEXIBILITY;1320000;2020-05-06T15:37:00.000+02:00;2020-05-06T15:59:00.000+02:00;TGV;6706
FRAEK;FRTJB;25.5;SECOND;CONDITIONAL_FLEXIBILITY;2760000;2020-05-06T15:37:00.000+02:00;2020-05-06T16:23:00.000+02:00;TGV;6706
FRAEK;FRTJB;27.5;FIRST;CONDITIONAL_FLEXIBILITY;2760000;2020-05-06T15:37:00.000+02:00;2020-05-06T16:23:00.000+02:00;TGV;6706
FRAEK;FRTJB;55.0;FIRST;FULL_FLEXIBILITY;2760000;2020-05-06T15:37:00.000+02:00;2020-05-06T16:23:00.000+02:00;TGV;6706
FRAEK;FRABA;39.0;SECOND;CONDITIONAL_FLEXIBILITY;4680000;2020-05-06T15:37:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRAEK;FRABA;41.0;FIRST;CONDITIONAL_FLEXIBILITY;4680000;2020-05-06T15:37:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRAEK;FRABA;78.0;FIRST;FULL_FLEXIBILITY;4680000;2020-05-06T15:37:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRTJA;FRTJB;18.5;SECOND;CONDITIONAL_FLEXIBILITY;1260000;2020-05-06T16:02:00.000+02:00;2020-05-06T16:23:00.000+02:00;TGV;6706
FRTJA;FRTJB;20.5;FIRST;CONDITIONAL_FLEXIBILITY;1260000;2020-05-06T16:02:00.000+02:00;2020-05-06T16:23:00.000+02:00;TGV;6706
FRTJA;FRTJB;38.0;FIRST;FULL_FLEXIBILITY;1260000;2020-05-06T16:02:00.000+02:00;2020-05-06T16:23:00.000+02:00;TGV;6706
FRTJA;FRABA;33.0;SECOND;CONDITIONAL_FLEXIBILITY;3180000;2020-05-06T16:02:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRTJA;FRABA;35.0;FIRST;CONDITIONAL_FLEXIBILITY;3180000;2020-05-06T16:02:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRTJA;FRABA;68.0;FIRST;FULL_FLEXIBILITY;3180000;2020-05-06T16:02:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRTJB;FRABA;18.0;SECOND;CONDITIONAL_FLEXIBILITY;1740000;2020-05-06T16:26:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRTJB;FRABA;20.0;FIRST;CONDITIONAL_FLEXIBILITY;1740000;2020-05-06T16:26:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRTJB;FRABA;39.0;FIRST;FULL_FLEXIBILITY;1740000;2020-05-06T16:26:00.000+02:00;2020-05-06T16:55:00.000+02:00;TGV;6706
FRMLT;FRLPD;13.9;SECOND;CONDITIONAL_FLEXIBILITY;1380000;2020-05-06T14:43:00.000+02:00;2020-05-06T15:06:00.000+02:00;TGV_INOUI;6615
FRMLT;FRLPD;16.5;FIRST;CONDITIONAL_FLEXIBILITY;1380000;2020-05-06T14:43:00.000+02:00;2020-05-06T15:06:00.000+02:00;TGV_INOUI;6615
FRMLT;FRLPD;33.0;FIRST;FULL_FLEXIBILITY;1380000;2020-05-06T14:43:00.000+02:00;2020-05-06T15:06:00.000+02:00;TGV_INOUI;6615
FRMLT;FRLPD;13.9;SECOND;CONDITIONAL_FLEXIBILITY;1560000;2020-05-06T17:35:00.000+02:00;2020-05-06T18:01:00.000+02:00;TGV_INOUI;6621
FRMLT;FRLPD;16.5;FIRST;CONDITIONAL_FLEXIBILITY;1560000;2020-05-06T17:35:00.000+02:00;2020-05-06T18:01:00.000+02:00;TGV_INOUI;6621
FRMLT;FRLPD;33.0;FIRST;FULL_FLEXIBILITY;1560000;2020-05-06T17:35:00.000+02:00;2020-05-06T18:01:00.000+02:00;TGV_INOUI;6621
FRFNI;FRLPD;40.0;SECOND;CONDITIONAL_FLEXIBILITY;5100000;2020-05-06T14:25:00.000+02:00;2020-05-06T15:50:00.000+02:00;TGV_INOUI;5500
FRFNI;FRLPD;46.0;FIRST;CONDITIONAL_FLEXIBILITY;5100000;2020-05-06T14:25:00.000+02:00;2020-05-06T15:50:00.000+02:00;TGV_INOUI;5500
FRFNI;FRLPD;84.0;FIRST;FULL_FLEXIBILITY;5100000;2020-05-06T14:25:00.000+02:00;2020-05-06T15:50:00.000+02:00;TGV_INOUI;5500
FRFNI;FRMPL;10.5;SECOND;CONDITIONAL_FLEXIBILITY;1680000;2020-05-06T12:28:00.000+02:00;2020-05-06T12:56:00.000+02:00;TGV_INOUI;5521
FRFNI;FRMPL;13.1;FIRST;CONDITIONAL_FLEXIBILITY;1680000;2020-05-06T12:28:00.000+02:00;2020-05-06T12:56:00.000+02:00;TGV_INOUI;5521
FRFNI;FRMPL;23.5;FIRST;FULL_FLEXIBILITY;1680000;2020-05-06T12:28:00.000+02:00;2020-05-06T12:56:00.000+02:00;TGV_INOUI;5521
FRMPL;FRLPD;42.0;SECOND;CONDITIONAL_FLEXIBILITY;6780000;2020-05-06T13:57:00.000+02:00;2020-05-06T15:50:00.000+02:00;TGV_INOUI;5500
FRMPL;FRLPD;51.0;FIRST;CONDITIONAL_FLEXIBILITY;6780000;2020-05-06T13:57:00.000+02:00;2020-05-06T15:50:00.000+02:00;TGV_INOUI;5500
FRMPL;FRLPD;92.0;FIRST;FULL_FLEXIBILITY;6780000;2020-05-06T13:57:00.000+02:00;2020-05-06T15:50:00.000+02:00;TGV_INOUI;5500
FRMPL;FRFNI;10.5;SECOND;CONDITIONAL_FLEXIBILITY;1500000;2020-05-06T13:57:00.000+02:00;2020-05-06T14:22:00.000+02:00;TGV_INOUI;5500
FRMPL;FRFNI;13.1;FIRST;CONDITIONAL_FLEXIBILITY;1500000;2020-05-06T13:57:00.000+02:00;2020-05-06T14:22:00.000+02:00;TGV_INOUI;5500
FRMPL;FRFNI;23.5;FIRST;FULL_FLEXIBILITY;1500000;2020-05-06T13:57:00.000+02:00;2020-05-06T14:22:00.000+02:00;TGV_INOUI;5500
FRAVG;FRLPD;37.0;SECOND;CONDITIONAL_FLEXIBILITY;4140000;2020-05-06T15:18:00.000+02:00;2020-05-06T16:27:00.000+02:00;TGV_INOUI;5386
FRAVG;FRLPD;42.0;FIRST;CONDITIONAL_FLEXIBILITY;4140000;2020-05-06T15:18:00.000+02:00;2020-05-06T16:27:00.000+02:00;TGV_INOUI;5386
FRAVG;FRLPD;73.0;FIRST;FULL_FLEXIBILITY;4140000;2020-05-06T15:18:00.000+02:00;2020-05-06T16:27:00.000+02:00;TGV_INOUI;5386
FRAIE;FRAVG;30.0;SECOND;CONDITIONAL_FLEXIBILITY;1140000;2020-05-06T09:15:00.000+02:00;2020-05-06T09:34:00.000+02:00;TGV_INOUI;6112
FRAIE;FRAVG;44.0;FIRST;CONDITIONAL_FLEXIBILITY;1140000;2020-05-06T09:15:00.000+02:00;2020-05-06T09:34:00.000+02:00;TGV_INOUI;6112
FRAIE;FRAVG;49.0;FIRST;FULL_FLEXIBILITY;1140000;2020-05-06T09:15:00.000+02:00;2020-05-06T09:34:00.000+02:00;TGV_INOUI;6112
FRMSC;FRLPD;42.0;SECOND;CONDITIONAL_FLEXIBILITY;6660000;2020-05-06T14:36:00.000+02:00;2020-05-06T16:27:00.000+02:00;TGV_INOUI;5386
FRMSC;FRLPD;52.0;FIRST;CONDITIONAL_FLEXIBILITY;6660000;2020-05-06T14:36:00.000+02:00;2020-05-06T16:27:00.000+02:00;TGV_INOUI;5386
FRMSC;FRLPD;96.0;FIRST;FULL_FLEXIBILITY;6660000;2020-05-06T14:36:00.000+02:00;2020-05-06T16:27:00.000+02:00;TGV_INOUI;5386
FRMSC;FRAVG;30.0;SECOND;CONDITIONAL_FLEXIBILITY;2040000;2020-05-06T09:00:00.000+02:00;2020-05-06T09:34:00.000+02:00;TGV_INOUI;6112
FRMSC;FRAVG;44.0;FIRST;CONDITIONAL_FLEXIBILITY;2040000;2020-05-06T09:00:00.000+02:00;2020-05-06T09:34:00.000+02:00;TGV_INOUI;6112
FRMSC;FRAVG;49.0;FIRST;FULL_FLEXIBILITY;2040000;2020-05-06T09:00:00.000+02:00;2020-05-06T09:34:00.000+02:00;TGV_INOUI;6112
FRMSC;FRAVG;20.5;SECOND;CONDITIONAL_FLEXIBILITY;2160000;2020-05-06T14:36:00.000+02:00;2020-05-06T15:12:00.000+02:00;TGV_INOUI;5386
FRMSC;FRAVG;24.5;FIRST;CONDITIONAL_FLEXIBILITY;2160000;2020-05-06T14:36:00.000+02:00;2020-05-06T15:12:00.000+02:00;TGV_INOUI;5386
